time,lat,lng,height
2015-08-20T03:52:09.700Z,32.515531,35.013055,99.19999694824219
2015-08-20T03:52:12.855Z,32.515471,35.012994,99.30000305175781
2015-08-20T03:52:13.780Z,32.515451,35.012974,99.0
2015-08-20T03:52:16.775Z,32.515388,35.012912,99.69999694824219
2015-08-20T03:52:17.704Z,32.515368,35.012891,99.69999694824219
2015-08-20T03:52:20.907Z,32.515311,35.012826,99.0999984741211
2015-08-20T03:52:21.779Z,32.515291,35.012806,98.80000305175781
2015-08-20T03:52:24.813Z,32.515226,35.01276,98.5
2015-08-20T03:52:25.698Z,32.515203,35.012747,97.9000015258789
2015-08-20T03:52:28.748Z,32.515136,35.012709,97.4000015258789
2015-08-20T03:52:29.672Z,32.515113,35.012694,97.0
2015-08-20T03:52:32.719Z,32.515052,35.012636,96.30000305175781
2015-08-20T03:52:33.698Z,32.515034,35.012617,96.30000305175781
2015-08-20T03:52:37.790Z,32.514986,35.012537,96.0999984741211
2015-08-20T03:52:38.678Z,32.514964,35.012521,96.5999984741211
2015-08-20T03:52:41.752Z,32.514901,35.01246,95.19999694824219
2015-08-20T03:52:42.684Z,32.514882,35.012438,94.69999694824219
2015-08-20T03:52:45.758Z,32.514836,35.012371,94.30000305175781
2015-08-20T03:52:46.679Z,32.514813,35.012367,94.9000015258789
2015-08-20T03:52:49.764Z,32.514761,35.012418,95.0
2015-08-20T03:52:50.678Z,32.514746,35.012445,95.4000015258789
2015-08-20T03:52:54.323Z,32.514689,35.012516,96.4000015258789
2015-08-20T03:52:54.673Z,32.514671,35.01254,96.5
2015-08-20T03:52:57.937Z,32.514631,35.012615,98.0
2015-08-20T03:52:58.682Z,32.514619,35.012636,97.69999694824219
2015-08-20T03:53:02.766Z,32.514562,35.012717,99.0999984741211
2015-08-20T03:53:03.678Z,32.514545,35.012741,99.19999694824219
2015-08-20T03:53:05.884Z,32.514507,35.012782,99.4000015258789
2015-08-20T03:53:33.775Z,32.514134,35.013324,105.19999694824219
2015-08-20T03:53:36.808Z,32.514092,35.013393,105.80000305175781
2015-08-20T03:53:37.677Z,32.514077,35.013417,106.19999694824219
2015-08-20T03:53:40.734Z,32.514028,35.013493,106.30000305175781
2015-08-20T03:53:41.686Z,32.514011,35.013514,107.19999694824219
2015-08-20T03:53:44.713Z,32.513947,35.013472,106.69999694824219
2015-08-20T03:53:45.682Z,32.513928,35.013445,107.30000305175781
2015-08-20T03:53:49.290Z,32.513882,35.013363,103.9000015258789
2015-08-20T03:53:49.679Z,32.513869,35.013336,102.5999984741211
2015-08-20T03:53:52.831Z,32.513823,35.01327,105.4000015258789
2015-08-20T03:53:53.737Z,32.513807,35.013251,105.0999984741211
2015-08-20T03:53:56.820Z,32.513777,35.013178,105.19999694824219
2015-08-20T03:53:57.772Z,32.513769,35.013153,104.69999694824219
2015-08-20T03:54:00.947Z,32.513739,35.013078,104.19999694824219
2015-08-20T03:54:01.713Z,32.513726,35.013053,103.9000015258789
2015-08-20T03:54:04.796Z,32.513683,35.012981,102.80000305175781
2015-08-20T03:54:05.739Z,32.513666,35.012958,102.30000305175781
2015-08-20T03:54:08.837Z,32.513614,35.012891,100.4000015258789
2015-08-20T03:54:09.736Z,32.513598,35.012869,100.4000015258789
2015-08-20T03:54:12.795Z,32.513558,35.012791,100.5999984741211
2015-08-20T03:54:13.691Z,32.513546,35.012765,100.4000015258789
2015-08-20T03:54:17.425Z,32.513513,35.012687,99.69999694824219
2015-08-20T03:54:17.724Z,32.513502,35.01266,99.9000015258789
2015-08-20T03:54:20.759Z,32.513469,35.012578,102.0
2015-08-20T03:54:21.692Z,32.51346,35.01255,102.0999984741211
